fuel,location,brand,year,subcategory,transmission,price
Gasolina,Lima,BMW,2025,Camioneta,Automática,87991.0
hibrido,Lima,TOYOTA,2021,Sedán,Automática - Secuencial,19900.0
Gasolina,Lima,CHEVROLET,2022,Camioneta,Automática,31900.0
Gasolina,Lima,AUDI,2018,Sedán,Automática - Secuencial,17500.0
Gasolina,Lima,FIAT,2024,Camioneta,Automática,19990.0
Gasolina,Lima,BMW,2018,Camioneta,Automática,17500.0
Gasolina,Lima,FORD,2021,Camioneta,Automática - Secuencial,53900.0
Gasolina,Lima,CHERY,2023,Sedán,Mecánica,10990.0
hibrido,Lima,AUDI,2023,Camioneta,Automática - Secuencial,75900.0
Gasolina,Lima,CHERY,2023,Camioneta,Automática - Secuencial,16900.0
hibrido,Lima,HYUNDAI,2024,Camioneta,Automática,23900.0
Gasolina,Lima,VOLKSWAGEN,2018,Camioneta,Automática - Secuencial,22900.0
Gasolina,Lima,MAZDA,2022,Camioneta,Automática,22490.0
hibrido,Lima,LEXUS,2025,Camioneta,Automática - Secuencial,38500.0
Gasolina,Lima,VOLKSWAGEN,2021,Camioneta,Automática - Secuencial,22900.0
Gasolina,Lima,VOLKSWAGEN,2021,Camioneta,Automática,21990.0
Diesel,Lima,MITSUBISHI,2022,Pick Up,Mecánica,25800.0
Diesel,Lima,NISSAN,2023,Pick Up,Mecánica,24900.0
Gasolina,Lima,DFSK,2022,Camioneta,Automática,19000.0
Gasolina,Lima,AUDI,2024,Sedán,Automática - Secuencial,36900.0
electrico,Lima,HYUNDAI,2023,Camioneta,Automática,21990.0
Gasolina,Lima,VOLVO,2020,Camioneta,Automática,38900.0
Gasolina,Lima,BMW,2010,Camioneta,Automática - Secuencial,25900.0
Gasolina,Lima,CHEVROLET,2025,Camioneta,Automática,22500.0
electrico,Lima,BMW,2023,Camioneta,Automática,99900.0
Gasolina,Lima,MERCEDES BENZ,2025,Camioneta,Automática,46500.0
Gasolina,Lima,FORD,2024,Pick Up,Automática - Secuencial,60990.0
Gasolina,Lima,FORD,1966,Deportivo,Mecánica,24500.0
Gasolina,Lima,BMW,2022,Sedán,Automática - Secuencial,160000.0
hibrido,Lima,MAZDA,2024,Camioneta,Automática,50000.0
Gasolina,Lima,VOLKSWAGEN,2021,Sedán,Mecánica,10900.0
Gasolina,Lima,TOYOTA,2024,Camioneta,Automática - Secuencial,115000.0
Gasolina,Lima,HYUNDAI,2018,Hatchback,Mecánica,11900.0
Gasolina,Lima,JEEP,2016,Camioneta,Automática - Secuencial,21500.0
Gasolina,Lima,KIA,2018,Camioneta,Automática - Secuencial,19500.0
Gasolina,Lima,SUBARU,2020,Sedán,Automática,13900.0
Gasolina,Lima,LEXUS,2021,Camioneta,Automática - Secuencial,95000.0
Gasolina,Lima,HAVAL,2023,Camioneta,Automática,20000.0
Diesel,Lima,TOYOTA,2017,Camioneta,Automática,34500.0
Gasolina,Lima,BMW,2022,Camioneta,Automática,60000.0
gas,Lima,VOLKSWAGEN,2012,Station Wagon,Mecánica,6900.0
Diesel,Lima,VOLKSWAGEN,2024,Pick Up,Automática - Secuencial,45900.0
Gasolina,Lima,MASERATI,2019,Camioneta,Automática - Secuencial,69000.0
Gasolina,Lima,CHERY,2024,Camioneta,Automática,18490.0
Gasolina,Lima,SEAT,2024,Camioneta,Automática,23900.0
gas,Lima,KIA,2023,Hatchback,Automática,12000.0
Gasolina,Lima,VOLKSWAGEN,2022,Camioneta,Automática - Secuencial,22500.0
Gasolina,Lima,VOLVO,2020,Camioneta,Automática - Secuencial,36900.0
Gasolina,Lima,VOLVO,2019,Camioneta,Automática,27900.0
Gasolina,Lima,VOLKSWAGEN,2022,Camioneta,Automática - Secuencial,29900.0
Gasolina,Lima,MITSUBISHI,2019,Camioneta,Automática - Secuencial,32500.0
Gasolina,Lima,PEUGEOT,2023,Camioneta,Automática,16500.0
Gasolina,Lima,TOYOTA,2024,Vans,Automática - Secuencial,20500.0
Gasolina,Lima,VOLKSWAGEN,2018,Camioneta,Automática,18900.0
Gasolina,Lima,LEXUS,2019,Camioneta,Automática,26000.0
Gasolina,Lima,MERCEDES BENZ,2022,Hatchback,Automática - Secuencial,30900.0
hibrido,Lima,MAZDA,2024,Camioneta,Automática,46000.0
Gasolina,Lima,JEEP,2020,Camioneta,Automática,26000.0
Gasolina,Lima,MAZDA,2024,Camioneta,Automática,27990.0
Gasolina,Lima,HYUNDAI,2023,Camioneta,Automática,30000.0
hibrido,Lima,TOYOTA,2025,Camioneta,Automática - Secuencial,32990.0
Gasolina,Lima,MAZDA,2025,Camioneta,Automática,56000.0
Diesel,Lima,MERCEDES BENZ,2004,Camioneta,Automática - Secuencial,49900.0
Gasolina,Lima,BMW,2025,Camioneta,Automática,54500.0
Gasolina,Lima,MERCEDES BENZ,2021,Sedán,Automática - Secuencial,37900.0
Gasolina,Lima,BMW,2016,Camioneta,Automática - Secuencial,21900.0
Gasolina,Lima,HONDA,2017,Camioneta,Automática,16900.0
Gasolina,Lima,HONDA,2017,Camioneta,Automática,19900.0
electrico,Lima,BMW,2023,Camioneta,Automática,55991.0
hibrido,Lima,TOYOTA,2023,Camioneta,Automática,28900.0
Gasolina,Lima,VOLKSWAGEN,2020,Sedán,Automática - Secuencial,18900.0
Gasolina,Lima,AUDI,2024,Camioneta,Automática - Secuencial,31990.0
Gasolina,Lima,SUBARU,2022,Camioneta,Automática,24900.0
Gasolina,Lima,NISSAN,2015,Camioneta,Mecánica,13900.0
Gasolina,Lima,PEUGEOT,2021,Camioneta,Automática - Secuencial,19990.0
Gasolina,Arequipa,AUDI,2020,Camioneta,Automática,23900.0
Gasolina,Lima,JEEP,2025,Camioneta,Automática - Secuencial,180000.0
hibrido,Lima,TOYOTA,2019,Camioneta,Automática - Secuencial,28000.0
Gasolina,Lima,RENAULT,2025,Camioneta,Automática,28590.0
Gasolina,Lima,JEEP,2021,Camioneta,Automática,18900.0
Diesel,Lima,MITSUBISHI,2022,Camioneta,Mecánica,47500.0
Gasolina,Lima,NISSAN,2024,Camioneta,Automática - Secuencial,35500.0
Gasolina,Lima,SUBARU,2022,Camioneta,Automática,29900.0
Gasolina,Lima,TOYOTA,2024,Camioneta,Automática - Secuencial,26500.0
Gasolina,Lima,BMW,2022,Sedán,Automática - Secuencial,42900.0
hibrido,Lima,MERCEDES BENZ,2024,Sedán,Automática - Secuencial,52500.0
hibrido,Lima,TOYOTA,2024,Camioneta,Automática - Secuencial,29500.0
Gasolina,Lima,VOLKSWAGEN,2020,Hatchback,Automática,12490.0
Gasolina,Lima,NISSAN,2024,Camioneta,Automática - Secuencial,29200.0
Gasolina,Lima,NISSAN,2015,Sedán,Mecánica,9500.0
Gasolina,Lima,HYUNDAI,2022,Camioneta,Automática,22290.0
electrico,Lima,PORSCHE,2025,Camioneta,Automática,132000.0
Gasolina,Lima,NISSAN,2024,Camioneta,Automática,49000.0
gas,Lima,JEEP,2020,Camioneta,Automática - Secuencial,18900.0
gas,Lima,HYUNDAI,2024,Sedán,Automática,19490.0
Gasolina,Lima,MERCEDES BENZ,2020,Sedán,Automática - Secuencial,25900.0
Gasolina,Lima,TOYOTA,2023,Camioneta,Mecánica,14490.0
Gasolina,Lima,FORD,2011,Camioneta,Automática - Secuencial,9900.0
hibrido,Lima,TOYOTA,2024,Camioneta,Automática - Secuencial,26900.0
Diesel,Lima,VOLKSWAGEN,2015,Pick Up,Automática - Secuencial,23500.0
Gasolina,Lima,HYUNDAI,2022,Sedán,Automática,15290.0
Gasolina,Lima,FORD,2022,Camioneta,Automática,33900.0
hibrido,Lima,LEXUS,2024,Camioneta,Automática,82900.0
Gasolina,Lima,LAND ROVER,2018,Camioneta,Automática,22490.0
hibrido,Lima,MERCEDES BENZ,2020,Camioneta,Automática - Secuencial,55900.0
Gasolina,Lima,LAND ROVER,2019,Camioneta,Automática,56000.0
Gasolina,Lima,LEXUS,2026,Camioneta,Automática - Secuencial,118000.0
Gasolina,Lima,CHEVROLET,2020,Camioneta,Mecánica,12900.0
Gasolina,Lima,MERCEDES BENZ,2024,Sedán,Automática - Secuencial,99900.0
Diesel,Lima,NISSAN,2023,Pick Up,Mecánica,21900.0
gas,Lima,CHEVROLET,2023,Camioneta,Mecánica,13990.0
Gasolina,Lima,JEEP,2023,Camioneta,Automática,45900.0
Gasolina,Lima,BMW,2018,Camioneta,Automática,21900.0
gas,Lima,HYUNDAI,2025,Camioneta,Automática,31990.0
Diesel,Lima,PEUGEOT,2023,Vans,Mecánica,14700.0
Gasolina,Lima,BMW,2015,Camioneta,Automática - Secuencial,30990.0
Gasolina,Lima,HYUNDAI,2024,Camioneta,Automática - Secuencial,22900.0
Gasolina,Lima,MERCEDES BENZ,2018,Camioneta,Automática - Secuencial,69990.0
Gasolina,Lima,SUBARU,2023,Camioneta,Automática,37500.0
Gasolina,Lima,BMW,2019,Camioneta,Automática - Secuencial,29990.0
Gasolina,Lima,MERCEDES BENZ,2018,Camioneta,Automática,18900.0
gas,Lima,RENAULT,2023,Camioneta,Mecánica,16000.0
Gasolina,Lima,VOLKSWAGEN,2025,Sedán,Automática - Secuencial,25900.0
Gasolina,Lima,FORD,2024,Camioneta,Automática,20900.0
Gasolina,Lima,AUDI,2023,Sedán,Automática - Secuencial,31900.0
Gasolina,Lima,RAM,2025,Pick Up,Automática - Secuencial,33900.0
hibrido,Arequipa,AUDI,2024,Camioneta,Automática - Secuencial,56900.0
Gasolina,Lima,KIA,2026,Vans,Automática - Secuencial,23900.0
Gasolina,Lima,HYUNDAI,2023,Camioneta,Automática,35990.0
Gasolina,Lima,RAM,2022,Pick Up,Automática,57900.0
Gasolina,Arequipa,BMW,2016,Hatchback,Automática - Secuencial,15900.0
hibrido,Lima,TOYOTA,2024,Camioneta,Automática - Secuencial,27000.0
Gasolina,Lima,LEXUS,2017,Camioneta,Automática - Secuencial,99990.0
Gasolina,Lima,CHERY,2024,Camioneta,Automática,18900.0
hibrido,Lima,VOLVO,2023,Camioneta,Automática,45900.0
Gasolina,Lima,LAND ROVER,2016,Camioneta,Automática,22500.0
Gasolina,Lima,KIA,2023,Camioneta,Automática - Secuencial,24900.0
Gasolina,Lima,FORD,2023,Pick Up,Automática,27490.0
Gasolina,Lima,FORD,2023,Camioneta,Automática,22500.0
Gasolina,Lima,FORD,2023,Camioneta,Automática - Secuencial,42900.0
Gasolina,Lima,SUBARU,2017,Camioneta,Automática,16900.0
Gasolina,Lima,JEEP,2024,Camioneta,Automática,19900.0
Gasolina,Lima,VOLKSWAGEN,2019,Sedán,Automática,15900.0
Gasolina,Lima,FORD,2017,Camioneta,Automática - Secuencial,13900.0
hibrido,Lima,MERCEDES BENZ,2022,Camioneta,Automática - Secuencial,75000.0
Gasolina,Lima,MITSUBISHI,2021,Camioneta,Automática,23000.0
Gasolina,Lima,LAND ROVER,2019,Camioneta,Automática,19900.0
Gasolina,Lima,AUDI,2019,Camioneta,Automática - Secuencial,34900.0
Gasolina,Lima,MAZDA,2022,Camioneta,Mecánica,16990.0
Gasolina,Lima,JEEP,2021,Camioneta,Automática - Secuencial,64900.0
Gasolina,Lima,RAM,2025,Pick Up,Automática,72500.0
Gasolina,Lima,LAND ROVER,2018,Camioneta,Automática,83000.0
Gasolina,Lima,NISSAN,2022,Camioneta,Automática,19900.0
Gasolina,Lima,MAZDA,2019,Hatchback,Automática - Secuencial,15800.0
hibrido,Lima,MERCEDES BENZ,2023,Sedán,Automática,39500.0
hibrido,Lima,LEXUS,2023,Camioneta,Automática - Secuencial,44500.0
Gasolina,Lima,BMW,2021,Sedán,Automática - Secuencial,26900.0
Gasolina,Lima,TOYOTA,2023,Camioneta,Automática,36690.0
Gasolina,Lima,AUDI,2014,Camioneta,Automática - Secuencial,19900.0
Gasolina,Lima,MASERATI,2022,Camioneta,Automática - Secuencial,69900.0
Gasolina,Lima,BMW,2024,Deportivo,Automática,107990.0
Gasolina,Lima,MAZDA,2022,Camioneta,Automática,32000.0
Gasolina,Lima,VOLVO,2021,Camioneta,Automática - Secuencial,29900.0
Gasolina,Lima,VOLVO,2019,Camioneta,Automática - Secuencial,36900.0
Gasolina,Lima,FORD,2023,Camioneta,Automática,28900.0
electrico,Lima,MERCEDES BENZ,2023,Camioneta,Automática,43900.0
Gasolina,Lima,VOLKSWAGEN,2021,Camioneta,Automática,18900.0
Gasolina,Lima,MINI,2020,Camioneta,Automática,27000.0
Gasolina,Lima,AUDI,2024,Camioneta,Automática - Secuencial,29990.0
Gasolina,Lima,JEEP,2024,Camioneta,Automática,35190.0
gas,Lima,CHERY,2025,Camioneta,Mecánica,12990.0
Gasolina,Lima,MITSUBISHI,2025,Camioneta,Automática - Secuencial,37990.0
Gasolina,Lima,RENAULT,2020,Camioneta,Mecánica,14000.0
Gasolina,Lima,BMW,2023,Hatchback,Automática,45991.0
Gasolina,Lima,AUDI,2024,Station Wagon,Automática - Secuencial,190000.0
Gasolina,Arequipa,TOYOTA,2022,Camioneta,Automática - Secuencial,41900.0
Diesel,Lima,PEUGEOT,2022,Vans,Mecánica,14250.0
Gasolina,Lima,PEUGEOT,2018,Camioneta,Automática,16990.0
hibrido,Lima,KIA,2023,Camioneta,Automática - Secuencial,26990.0
Gasolina,Lima,CHEVROLET,2023,Camioneta,Automática,18000.0
Gasolina,Lima,PORSCHE,2024,Camioneta,Automática,72900.0
Gasolina,Lima,MAZDA,2024,Sedán,Automática,26700.0
Diesel,Lima,PEUGEOT,2020,Vans,Mecánica,21900.0
Gasolina,Lima,SUZUKI,2023,Camioneta,Automática,22300.0
Gasolina,Lima,MAZDA,2024,Camioneta,Automática,23000.0
electrico,Lima,RENAULT,2024,Camioneta,Automática,16500.0
electrico,Lima,BMW,2023,Sedán,Automática,75991.0
electrico,Lima,MINI,2024,Hatchback,Automática,32991.0
Diesel,Lima,PEUGEOT,2024,Vans,Mecánica,15900.0
Gasolina,Lima,MAZDA,2018,Camioneta,Automática,15500.0
electrico,Lima,MINI,2025,Hatchback,Automática,43991.0
Diesel,Lima,PEUGEOT,2024,Vans,Mecánica,15350.0
Gasolina,Lima,BMW,2022,Camioneta,Automática,69991.0
Diesel,Lima,PEUGEOT,2024,Vans,Mecánica,15500.0
electrico,Lima,MINI,2023,Hatchback,Automática,29991.0
electrico,Lima,HYUNDAI,2022,Hatchback,Automática,25000.0
Gasolina,Lima,BMW,2026,Deportivo,Automática,124991.0
Gasolina,Lima,AUDI,2025,Hatchback,Automática,53900.0
Gasolina,Lima,BMW,2019,Camioneta,Automática,49991.0
Gasolina,Arequipa,AUDI,2020,Hatchback,Automática,20900.0
Gasolina,Lima,PEUGEOT,2018,Camioneta,Automática,18990.0
hibrido,Arequipa,HYUNDAI,2024,Camioneta,Automática - Secuencial,23900.0
hibrido,Lima,LAND ROVER,2021,Camioneta,Automática,73000.0
Gasolina,Lima,HONDA,2018,Camioneta,Automática,16000.0
Diesel,Lima,PEUGEOT,2024,Vans,Mecánica,15250.0
hibrido,Lima,BMW,2024,Camioneta,Automática,59991.0
hibrido,Lima,BMW,2024,Sedán,Automática,52991.0
Gasolina,Lima,HYUNDAI,2025,Camioneta,Mecánica,21990.0
Gasolina,Lima,TOYOTA,2024,Camioneta,Automática - Secuencial,24990.0
Gasolina,Lima,AUDI,2024,Camioneta,Automática,31900.0
Diesel,Lima,MITSUBISHI,2022,Pick Up,Mecánica,26500.0
gas,Lima,KIA,2025,Camioneta,Automática - Secuencial,17990.0
Diesel,Lima,PEUGEOT,2023,Vans,Mecánica,15900.0
hibrido,Lima,LEXUS,2018,Camioneta,Automática,36000.0
Gasolina,Lima,MAZDA,2020,Camioneta,Automática - Secuencial,24990.0
Gasolina,Lima,PEUGEOT,2024,Camioneta,Automática - Secuencial,26990.0
Gasolina,Lima,HONDA,2019,Camioneta,Automática,20500.0
Gasolina,Lima,MAZDA,2021,Hatchback,Mecánica,18500.0
Diesel,Lima,PEUGEOT,2024,Vans,Mecánica,15300.0
hibrido,Lima,MINI,2024,Camioneta,Automática,42991.0
electrico,Lima,PORSCHE,2025,Deportivo,Automática - Secuencial,200000.0
Gasolina,Lima,PEUGEOT,2025,Camioneta,Automática,42490.0
hibrido,Lima,SUZUKI,2022,Sedán,Mecánica,13000.0
Diesel,Lima,PEUGEOT,2020,Vans,Mecánica,21500.0
Gasolina,Lima,MAZDA,2020,Camioneta,Mecánica,15490.0
Gasolina,Lima,MINI,2018,Hatchback,Mecánica,18991.0
Gasolina,Lima,KIA,2024,Camioneta,Automática - Secuencial,29990.0
Gasolina,Lima,SUBARU,2025,Hatchback,Automática,26000.0
hibrido,Lima,KIA,2023,Camioneta,Automática,26990.0
Gasolina,Lima,PORSCHE,2018,Sedán,Automática - Secuencial,127900.0
Gasolina,Arequipa,VOLKSWAGEN,2018,Sedán,Mecánica,12900.0
Gasolina,Arequipa,AUDI,2022,Camioneta,Automática - Secuencial,32900.0
Gasolina,Lima,MAZDA,2019,Camioneta,Mecánica,15500.0
Diesel,Lima,PEUGEOT,2024,Vans,Mecánica,15400.0
Gasolina,Lima,HONDA,2022,Camioneta,Automática,21500.0
Gasolina,Lima,AUDI,2017,Sedán,Automática,18900.0
Diesel,Lima,PEUGEOT,2024,Vans,Mecánica,15200.0
Gasolina,Lima,MAZDA,2024,Camioneta,Automática,27500.0
Gasolina,Lima,BMW,2023,Camioneta,Automática,75991.0
Gasolina,Lima,ASTON MARTIN,2015,Deportivo,Automática - Secuencial,120000.0
Gasolina,Lima,VOLKSWAGEN,2018,Camioneta,Automática,21500.0
gas,Lima,HYUNDAI,2024,Camioneta,Automática,19490.0
Gasolina,Arequipa,FORD,2022,Camioneta,Automática,16900.0
Gasolina,Lima,VOLKSWAGEN,2022,Camioneta,Automática,40000.0
Diesel,Lima,PEUGEOT,2024,Vans,Mecánica,15000.0
Gasolina,Lima,FORD,2019,Camioneta,Automática,16000.0
Gasolina,Lima,SUZUKI,2019,Camioneta,Mecánica,15000.0
Gasolina,Lima,HONDA,2018,Camioneta,Automática,16500.0
Diesel,Lima,PEUGEOT,2023,Vans,Mecánica,15000.0
Gasolina,Lima,GEELY,2023,Camioneta,Automática,16490.0
Gasolina,Lima,FORD,2018,Camioneta,Automática,27100.0
Gasolina,Lima,AUDI,2023,Camioneta,Automática,42900.0
Gasolina,Lima,CHEVROLET,2021,Camioneta,Mecánica,15000.0
hibrido,Lima,RENAULT,2025,Camioneta,Automática,27500.0
Gasolina,Lima,BMW,2024,Camioneta,Automática,51991.0
Gasolina,Lima,MINI,2023,Hatchback,Automática,35991.0
Diesel,Lima,PEUGEOT,2023,Pick Up,Mecánica,21500.0
Gasolina,Lima,BMW,2023,Camioneta,Automática,76991.0
Gasolina,Lima,VOLKSWAGEN,2021,Camioneta,Automática,16500.0
Gasolina,Lima,KIA,2022,Hatchback,Mecánica,11990.0
Gasolina,Lima,DODGE,2019,Camioneta,Automática,27000.0
Gasolina,Lima,PEUGEOT,2020,Camioneta,Automática - Secuencial,22990.0
Gasolina,Lima,HONDA,2024,Camioneta,Automática,24000.0
hibrido,Lima,BMW,2024,Camioneta,Automática,52991.0
Gasolina,Lima,CHEVROLET,2023,Camioneta,Automática,19990.0
Gasolina,Lima,FIAT,2023,Camioneta,Automática,14990.0
Gasolina,Lima,JEEP,2024,Camioneta,Automática,75900.0
Gasolina,Arequipa,VOLKSWAGEN,2020,Camioneta,Automática - Secuencial,20900.0
Gasolina,Lima,HYUNDAI,2022,Camioneta,Automática - Secuencial,17000.0
Gasolina,Lima,BMW,2024,Camioneta,Automática,78991.0
hibrido,Lima,BMW,2023,Sedán,Automática,41991.0
hibrido,Lima,BMW,2024,Camioneta,Automática,46991.0
Gasolina,Lima,MITSUBISHI,2020,Camioneta,Automática,20100.0
Gasolina,Arequipa,JEEP,2018,Camioneta,Mecánica,16900.0
Gasolina,Lima,BMW,2023,Hatchback,Automática,43991.0
Gasolina,Lima,FORD,2021,Camioneta,Automática,21990.0
hibrido,Lima,BMW,2024,Sedán,Automática,45991.0
Gasolina,Lima,MERCEDES BENZ,2019,Camioneta,Automática,50000.0
Gasolina,Lima,BMW,2022,Camioneta,Automática - Secuencial,155000.0
Gasolina,Lima,AUDI,2018,Camioneta,Automática - Secuencial,39900.0
Gasolina,Lima,BMW,2024,Sedán,Automática,56991.0
Gasolina,Lima,RAM,2023,Pick Up,Automática,16200.0
Gasolina,Lima,NISSAN,2023,Sedán,Automática,16000.0
Gasolina,Lima,FORD,2022,Camioneta,Automática,19000.0
Gasolina,Lima,BMW,2022,Camioneta,Automática,31500.0
Gasolina,Lima,NISSAN,2023,Sedán,Mecánica,13200.0
Diesel,Lima,CITROEN,2021,Vans,Mecánica,26000.0
Diesel,Lima,PEUGEOT,2023,Vans,Mecánica,15500.0
Gasolina,Lima,MAZDA,2021,Camioneta,Automática - Secuencial,21500.0
Gasolina,Lima,BMW,2025,Camioneta,Automática,52991.0
Gasolina,Lima,BMW,2023,Sedán,Automática,53991.0
Gasolina,Lima,HYUNDAI,2023,Camioneta,Mecánica,18990.0
Gasolina,Lima,AUDI,2019,Hatchback,Automática,19900.0
Gasolina,Lima,AUDI,2022,Camioneta,Automática,35991.0
Gasolina,Lima,HONDA,2019,Camioneta,Automática,23700.0
Gasolina,Lima,MAZDA,2022,Camioneta,Mecánica,22990.0
Gasolina,Lima,AUDI,2023,Camioneta,Automática - Secuencial,37900.0
Gasolina,Lima,NISSAN,2023,Camioneta,Automática,20500.0
Gasolina,Lima,JEEP,2022,Camioneta,Automática - Secuencial,40500.0
electrico,Lima,JMEV,2025,Sedán,Automática,28900.0
Diesel,Lima,PEUGEOT,2024,Vans,Mecánica,15100.0
Gasolina,Lima,HONDA,2023,Camioneta,Automática,37000.0
Gasolina,Lima,VOLKSWAGEN,2018,Sedán,Mecánica,12000.0
electrico,Lima,BMW,2024,Sedán,Automática,83991.0
Diesel,Lima,FORD,2020,Pick Up,Mecánica,17800.0
Gasolina,Lima,MG,2023,Camioneta,Mecánica,14990.0
Gasolina,Lima,NISSAN,2023,Sedán,Automática,16990.0
Gasolina,Lima,KIA,2022,Camioneta,Automática,35000.0
Gasolina,Lima,BMW,2019,Deportivo,Automática - Secuencial,23500.0
Gasolina,Lima,KIA,2023,Camioneta,Automática,16990.0
Gasolina,Lima,KIA,2025,Hatchback,Automática,20990.0
Gasolina,Lima,KIA,2024,Camioneta,Automática,28490.0
Gasolina,Lima,KIA,2023,Camioneta,Automática,20990.0
Gasolina,Lima,CITROEN,2024,Hatchback,Mecánica,18500.0
Gasolina,Lima,SUZUKI,2024,Camioneta,Automática,19000.0
Gasolina,Lima,MAZDA,2018,Camioneta,Automática - Secuencial,19900.0
Gasolina,Lima,HYUNDAI,2020,Camioneta,Automática - Secuencial,19900.0
Gasolina,Lima,MITSUBISHI,2026,Camioneta,Automática - Secuencial,23990.0
hibrido,Lima,VOLKSWAGEN,2021,Camioneta,Automática,16900.0
gas,Lima,KIA,2022,Camioneta,Automática,26900.0
Gasolina,Lima,VOLKSWAGEN,2020,Camioneta,Automática - Secuencial,16900.0
Gasolina,Lima,VOLKSWAGEN,2020,Camioneta,Automática,19900.0
Gasolina,Lima,HONDA,2022,Camioneta,Automática,33900.0
Gasolina,Lima,HONDA,2016,Camioneta,Automática,22500.0
Gasolina,Lima,SEAT,2024,Camioneta,Automática - Secuencial,23900.0
Gasolina,Lima,VOLKSWAGEN,2023,Camioneta,Automática,17900.0
Gasolina,Lima,TOYOTA,2021,Camioneta,Automática,44900.0
Gasolina,Lima,HYUNDAI,2023,Hatchback,Mecánica,13900.0
Gasolina,Lima,VOLVO,2020,Camioneta,Automática,27900.0
Gasolina,Lima,JETOUR,2025,Pick Up,Automática - Secuencial,22900.0
Gasolina,Lima,FORD,2025,Pick Up,Automática,32990.0
Gasolina,Lima,JEEP,2014,Deportivo,Automática - Secuencial,29900.0
Gasolina,Lima,BMW,2015,Deportivo,Automática - Secuencial,39900.0
Gasolina,Lima,MAZDA,2026,Camioneta,Automática,23290.0
Gasolina,Lima,MERCEDES BENZ,2020,Sedán,Automática,25900.0
Gasolina,Lima,GAC,2024,Camioneta,Automática - Secuencial,27900.0
Gasolina,Lima,BMW,2016,Camioneta,Automática - Secuencial,18900.0
Gasolina,Lima,VOLKSWAGEN,2018,Camioneta,Automática,19900.0
Gasolina,Lima,AUDI,2009,Station Wagon,Automática - Secuencial,14900.0
Gasolina,Lima,HAVAL,2022,Camioneta,Automática,18900.0
Gasolina,Lima,MAZDA,2026,Sedán,Mecánica,25590.0
Gasolina,Lima,JETOUR,2024,Pick Up,Automática - Secuencial,22900.0
Gasolina,Lima,KIA,2023,Camioneta,Automática,27900.0
Gasolina,Lima,FORD,2026,Camioneta,Mecánica,25990.0
Gasolina,Lima,FORD,2025,Pick Up,Automática,51990.0
hibrido,Lima,MERCEDES BENZ,2020,Camioneta,Automática - Secuencial,74900.0
Gasolina,Lima,DODGE,2022,Camioneta,Automática,37900.0
hibrido,Lima,MAZDA,2026,Camioneta,Automática,43990.0
Gasolina,Lima,FORD,2025,Camioneta,Automática,84990.0
Gasolina,Lima,KIA,2025,Vans,Mecánica,20990.0
Gasolina,Lima,MG,2023,Sedán,Mecánica,14590.0
Gasolina,Lima,FORD,2025,Camioneta,Automática,52990.0
Gasolina,Lima,HONDA,2024,Deportivo,Mecánica,58990.0
Gasolina,Lima,MAZDA,2026,Camioneta,Mecánica,22190.0
Diesel,Lima,FORD,2025,Pick Up,Mecánica,32990.0
Gasolina,Lima,HYUNDAI,2026,Camioneta,Automática - Secuencial,37490.0
Gasolina,Lima,MAZDA,2025,Sedán,Automática,28990.0
Diesel,Lima,MITSUBISHI,2026,Pick Up,Mecánica,30990.0
Gasolina,Lima,DFSK,2026,Vans,Mecánica,12490.0
Gasolina,Lima,RENAULT,2026,Camioneta,Mecánica,10990.0
Gasolina,Lima,MAZDA,2026,Camioneta,Mecánica,27990.0
Diesel,Lima,MAZDA,2026,Pick Up,Mecánica,30890.0
Gasolina,Lima,MAZDA,2025,Sedán,Mecánica,25990.0
Gasolina,Lima,NISSAN,2026,Camioneta,Mecánica,17890.0
Gasolina,Lima,HYUNDAI,2026,Camioneta,Mecánica,25590.0
Gasolina,Lima,FORD,2025,Hatchback,Automática,61990.0
hibrido,Lima,MAZDA,2026,Camioneta,Automática,48240.0
hibrido,Lima,HYUNDAI,2025,Camioneta,Automática,25990.0
Gasolina,Lima,FORD,2025,Pick Up,Automática - Secuencial,67990.0
Gasolina,Lima,MAZDA,2026,Camioneta,Mecánica,29490.0
Gasolina,Lima,FORD,2026,Camioneta,Automática,25990.0
Gasolina,Lima,MG,2025,Camioneta,Automática,17590.0
Gasolina,Lima,RENAULT,2026,Camioneta,Mecánica,19690.0
Gasolina,Lima,FORD,2025,Pick Up,Automática - Secuencial,99990.0
Gasolina,Lima,RENAULT,2025,Camioneta,Mecánica,17990.0
Gasolina,Lima,MITSUBISHI,2026,Vans,Mecánica,21490.0
Gasolina,Lima,FORD,2025,Pick Up,Mecánica,51990.0
Gasolina,Lima,DFSK,2026,Camioneta,Mecánica,17990.0
Gasolina,Lima,MAZDA,2026,Camioneta,Automática,43990.0
Gasolina,Lima,HONDA,2025,Camioneta,Automática,39990.0
Gasolina,Lima,DFSK,2026,Vans,Mecánica,12990.0
Gasolina,Lima,FORD,2025,Camioneta,Automática,39990.0
Gasolina,Lima,RENAULT,2025,Camioneta,Mecánica,26990.0
Gasolina,Lima,MAZDA,2025,Hatchback,Automática,21490.0
Gasolina,Lima,HONDA,2025,Camioneta,Automática,54990.0
Gasolina,Lima,MITSUBISHI,2026,Camioneta,Automática - Secuencial,36990.0
Gasolina,Lima,MAZDA,2025,Camioneta,Mecánica,23490.0
Gasolina,Lima,HONDA,2025,Camioneta,Automática,28490.0
